	clusters	baseline_props	mean_props_Control	mean_props_Ischaemic	p_values	comb	ctrl	ischaemic	adjusted_p_values	-log10(adjusted-p-value)	correct
78	Cardiomyocyte	0.35243845434714866	0.34341676034282975	0.015712485778732084	2.5067730438652433e-06	['CK158', 'CK376']	CK158	CK376	4.853112612923111e-05	4.313979631082476	True
79	Cycling cells	0.004643191025241508	0.00640398743965698	0.08271600600874106	0.005563257617661818	['CK158', 'CK376']	CK158	CK376	0.025254756100971748	1.5976568213513385	True
80	Endothelial	0.17333281396073544	0.16593371739495466	0.2063322117233839	0.4075239552814837	['CK158', 'CK376']	CK158	CK376	0.6447456160600475	0.19061160216001818	True
81	Fibroblast	0.2411421003427859	0.2609481886927981	0.3178479775025968	0.3745141556215915	['CK158', 'CK376']	CK158	CK376	0.6250512114512079	0.20408439875267576	True
82	Lymphoid	0.026651604861327515	0.009594197288864834	0.02871089680458862	0.37152475264655904	['CK158', 'CK376']	CK158	CK376	0.6250512114512079	0.20408439875267576	True
83	Mast	0.003716110937986912	0.0016481330144858123	0.0008497230889399749	0.7039823111069545	['CK158', 'CK376']	CK158	CK376	0.7311365884934422	0.13600148201929282	True
84	Myeloid	0.10208787784356498	0.11258289681667745	0.271874096196807	0.009533458977445453	['CK158', 'CK376']	CK158	CK376	0.0397775357334793	1.400362125447426	True
85	Neuronal	0.014163290744780305	0.010069672560556346	0.004897100039980028	0.5967983246212182	['CK158', 'CK376']	CK158	CK376	0.6866174178903729	0.1632851837274436	True
86	Pericyte	0.06331411654721097	0.05543083286065466	0.03764115537909824	0.503350458043607	['CK158', 'CK376']	CK158	CK376	0.6617596562550566	0.1792997128483893	True
87	Vsmcs	0.015020255531318168	0.008148864093956293	0.004266483608691352	0.646537084369298	['CK158', 'CK376']	CK158	CK376	0.7047836685467123	0.15194416807815989	True
88	Adipocyte	0.0034322307196166957	0.000154619250096637	0.0	0.6829943370884518	['CK158', 'CK372']	CK158	CK372	0.7217669413773159	0.1416030135292163	True
89	Cardiomyocyte	0.35160785036395464	0.3368396137489005	0.18126614065334026	0.0008489881450257893	['CK158', 'CK372']	CK158	CK372	0.005201395723955469	2.283880103696339	True
90	Cycling cells	0.005298074265180135	0.006604833720901135	0.06305087575675655	0.0008383336445543783	['CK158', 'CK372']	CK158	CK372	0.005201395723955469	2.283880103696339	True
91	Endothelial	0.17465984827543843	0.16769521603128773	0.2425416999895143	0.07606873059785194	['CK158', 'CK372']	CK158	CK372	0.20217745029204634	0.6942672847482414	True
92	Fibroblast	0.24093184680119167	0.2662306117404896	0.2654039476845546	0.5674852074620387	['CK158', 'CK372']	CK158	CK372	0.6748472737386406	0.17079450224664283	True
93	Lymphoid	0.026513406431401456	0.010416861132634028	0.022260113300428958	0.31827288428039074	['CK158', 'CK372']	CK158	CK372	0.5857189201205669	0.23231074699603704	True
94	Mast	0.0037316870911268773	0.002156279344638554	0.00337240606700148	0.6713984749646829	['CK158', 'CK372']	CK158	CK372	0.7144540309400941	0.14602570914215335	True
95	Myeloid	0.10132375072944501	0.11551125865267403	0.1396077843031172	0.4556032600623082	['CK158', 'CK372']	CK158	CK372	0.6576705756928047	0.1819915881241827	False
96	Neuronal	0.01399766577597592	0.010511703460228767	0.0034541683943759617	0.4378300348196109	['CK158', 'CK372']	CK158	CK372	0.6576705756928047	0.1819915881241827	True
97	Pericyte	0.06353082097116004	0.06040839718739013	0.06058931479907676	0.6206374209572105	['CK158', 'CK372']	CK158	CK372	0.6953437771835415	0.15780042761028282	True
98	Vsmcs	0.014972818575509075	0.00851571080131544	0.008056555147590279	0.6267356675518923	['CK158', 'CK372']	CK158	CK372	0.6973334783795767	0.15655948419061622	True
99	Adipocyte	0.0034015934981622264	9.644668870631011e-05	0.0	0.5976842166555428	['CK158', 'CK373']	CK158	CK373	0.6866174178903729	0.1632851837274436	True
100	Cardiomyocyte	0.3454253513838474	0.34197430823234254	0.039696746508948985	1.0849190320914135e-06	['CK158', 'CK373']	CK158	CK373	2.6255040576612205e-05	4.580787306183431	True
101	Cycling cells	0.007670707485788644	0.007412486629475221	0.1207213385242792	1.358772713518534e-05	['CK158', 'CK373']	CK158	CK373	0.00016862717778024883	3.7730724284729678	True
102	Endothelial	0.17109178214581955	0.16525047930406772	0.11166012917314	0.06294058489095833	['CK158', 'CK373']	CK158	CK373	0.17407567478413616	0.7592619126569992	True
103	Fibroblast	0.24762383094004217	0.2657212311150404	0.46288036384681863	0.00027763229420337346	['CK158', 'CK373']	CK158	CK373	0.0020995942249130116	2.6778646304608893	False
104	Lymphoid	0.02625390954957423	0.010142580482444107	0.013988555994431521	0.4674352852031505	['CK158', 'CK373']	CK158	CK373	0.6576705756928047	0.1819915881241827	True
105	Mast	0.003728816138925036	0.001748643139243073	0.002801561757882007	0.6669353741411848	['CK158', 'CK373']	CK158	CK373	0.712575543232524	0.1471690874318606	True
106	Myeloid	0.10407201942028324	0.11759600018196428	0.2127716974708446	0.010246044278133947	['CK158', 'CK373']	CK158	CK373	0.04202614771709179	1.3764804173199372	True
107	Neuronal	0.013819449200587478	0.010901485819845767	0.001149173465180297	0.04781122699718579	['CK158', 'CK373']	CK158	CK373	0.14739257239896766	0.8315244014662434	True
108	Pericyte	0.062103813285239215	0.05861404552849615	0.01839228356164658	0.01569903619863379	['CK158', 'CK373']	CK158	CK373	0.05982939779636814	1.2230853684604859	True
109	Vsmcs	0.014808726951730855	0.008076738544266689	0.0049187880665091405	0.49550929887425843	['CK158', 'CK373']	CK158	CK373	0.6612140079480363	0.1796579543896197	True
110	Adipocyte	0.003441876939424506	0.00017820517398014032	0.0	0.6602284363132597	['CK158', 'CK375']	CK158	CK375	0.7116939046227565	0.14770675371787997	True
111	Cardiomyocyte	0.35007815447636503	0.33984385826173336	0.08766335648838616	7.016438791428434e-05	['CK158', 'CK375']	CK158	CK375	0.0006407464858587476	3.1933137670030076	True
112	Cycling cells	0.004358170800255638	0.006991515010554851	0.025825656395729972	0.18690648880971628	['CK158', 'CK375']	CK158	CK375	0.3985142757000118	0.3995561165597321	False
113	Endothelial	0.17691401467610168	0.16874775596328645	0.35801857873645304	0.000933596910556827	['CK158', 'CK375']	CK158	CK375	0.005648261308868803	2.248085219467825	False
114	Fibroblast	0.2402229905059636	0.2683183437860258	0.23249351275916047	0.4071357696350627	['CK158', 'CK375']	CK158	CK375	0.6447456160600475	0.19061160216001818	True
115	Lymphoid	0.026510922376820074	0.010572370793245599	0.01946877221025709	0.3701663884850992	['CK158', 'CK375']	CK158	CK375	0.6250512114512079	0.20408439875267576	True
116	Mast	0.0037036751853762578	0.002044468816078636	0.0014460225223741755	0.7312243116060974	['CK158', 'CK375']	CK158	CK375	0.7449162169527547	0.1278925709581116	True
117	Myeloid	0.1012543215960453	0.11436299008646258	0.14079564215897092	0.4157497791105401	['CK158', 'CK375']	CK158	CK375	0.6474665548839518	0.1887826603038344	False
118	Neuronal	0.013983106313187702	0.011594880551569882	0.0016953235883308986	0.12935058358650392	['CK158', 'CK375']	CK158	CK375	0.29812229740889473	0.5256055406413	True
119	Pericyte	0.06414827020658961	0.057111946537804756	0.08963679634804528	0.20030038216721446	['CK158', 'CK375']	CK158	CK375	0.4188380561151595	0.37795386469630665	True
120	Vsmcs	0.01538449692387061	0.008864706822324056	0.025982710072681593	0.2006131396725167	['CK158', 'CK375']	CK158	CK375	0.4188380561151595	0.37795386469630665	True
121	Adipocyte	0.00353774514052491	0.0	0.000706722605134352	0.7815692340828851	['CK357', 'CK161']	CK357	CK161	0.7815692340828851	0.10703254464625951	True
122	Cardiomyocyte	0.3775853510562021	0.6080221277544174	0.18123458993178415	0.0031622149653980592	['CK357', 'CK161']	CK357	CK161	0.016416237952138205	1.7847263614567028	True
123	Cycling cells	0.0035928992963905546	0.0010457534209123345	0.04189614414840398	0.04128726941237548	['CK357', 'CK161']	CK357	CK161	0.13411435164825325	0.8725247455776266	False
124	Endothelial	0.1679286462806401	0.09905799446875851	0.19734289101489094	0.20158417729195163	['CK357', 'CK161']	CK357	CK161	0.4188380561151595	0.37795386469630665	True
125	Fibroblast	0.22822789697203685	0.12144923672362569	0.13588383388996272	0.49468028879998305	['CK357', 'CK161']	CK357	CK161	0.6612140079480363	0.1796579543896197	True
126	Lymphoid	0.026867953071692523	0.007098011620470905	0.09261979654050073	0.03827049395439003	['CK357', 'CK161']	CK357	CK161	0.12686930872551214	0.8966434264731035	True
127	Mast	0.0038607909105951134	0.0021505376344086026	0.0	0.43432179854861963	['CK357', 'CK161']	CK357	CK161	0.6576705756928047	0.1819915881241827	True
128	Myeloid	0.09533001883120465	0.04410074562818921	0.25751551530183797	0.009664928550484862	['CK357', 'CK161']	CK357	CK161	0.03998141383277499	1.3981418523160554	True
129	Neuronal	0.014190376387717958	0.008187949698163235	0.012265943003059832	0.6095530375024594	['CK357', 'CK161']	CK357	CK161	0.692890906151359	0.1593351385283329	True
130	Pericyte	0.06393154581340561	0.0600372719131636	0.023921464153500084	0.3372189127003521	['CK357', 'CK161']	CK357	CK161	0.604769148402065	0.2184103719719529	True
131	Vsmcs	0.014946776239589654	0.0052573402417962	0.016423919749871896	0.5025845700539342	['CK357', 'CK161']	CK357	CK161	0.6617596562550566	0.1792997128483893	True
132	Adipocyte	0.003501438787207661	0.0	0.00023866348448687346	0.7631878570171594	['CK357', 'CK165']	CK357	CK165	0.7711543273409294	0.1128587000222191	True
133	Cardiomyocyte	0.38174260915676933	0.6062864193459293	0.6015688089170835	0.5970396801071314	['CK357', 'CK165']	CK357	CK165	0.6866174178903729	0.1632851837274436	False
134	Cycling cells	0.003563825224396216	0.0024661813123351586	0.012387142467938346	0.33475895087869706	['CK357', 'CK165']	CK357	CK165	0.604769148402065	0.2184103719719529	False
135	Endothelial	0.16763235672564786	0.10896080438353577	0.15265790712137003	0.41083149036669003	['CK357', 'CK165']	CK357	CK165	0.6447456160600475	0.19061160216001818	True
136	Fibroblast	0.22671231274320963	0.1230423564173263	0.09497734701991141	0.4898878730371334	['CK357', 'CK165']	CK357	CK165	0.6608592214994768	0.17989104556358826	True
137	Lymphoid	0.026225698533138896	0.006792836912910077	0.005567250421179929	0.7016286525588881	['CK357', 'CK165']	CK357	CK165	0.7311365884934422	0.13600148201929282	True
138	Mast	0.0038211692777990066	0.0032373716773340146	0.0	0.3373712191499123	['CK357', 'CK165']	CK357	CK165	0.604769148402065	0.2184103719719529	True
139	Myeloid	0.09400076423385556	0.04724684277972033	0.0496256046820889	0.6141533031796136	['CK357', 'CK165']	CK357	CK165	0.692890906151359	0.1593351385283329	False
140	Neuronal	0.014021351758127782	0.009677282105483536	0.0021247549234283095	0.3674172897660929	['CK357', 'CK165']	CK357	CK165	0.6250512114512079	0.20408439875267576	True
141	Pericyte	0.06373554389275772	0.06823459990012967	0.03735400316096561	0.4069636697826416	['CK357', 'CK165']	CK357	CK165	0.6447456160600475	0.19061160216001818	True
142	Vsmcs	0.015042929667090374	0.0058499682132844965	0.019096585821711608	0.3373712191499123	['CK357', 'CK165']	CK357	CK165	0.604769148402065	0.2184103719719529	True
143	Adipocyte	0.003414438846040535	0.0001279100125471372	0.00035328119085704056	0.6497812362464751	['CK357', 'CK361']	CK357	CK361	0.7057870760692478	0.1513262984317011	True
144	Cardiomyocyte	0.3687216250311605	0.6078086743952318	0.16656223314502994	3.5798385009463735e-08	['CK357', 'CK361']	CK357	CK361	2.51024831877997e-06	5.600283315115905	True
145	Cycling cells	0.007274567718444768	0.00287244081575999	0.08710826681205744	6.737439055613094e-07	['CK357', 'CK361']	CK357	CK361	2.1739470019444914e-05	4.6627510476662914	True
146	Endothelial	0.16574381132959154	0.1084413706389123	0.12105552319614346	0.45373566725545256	['CK357', 'CK361']	CK357	CK361	0.6576705756928047	0.1819915881241827	True
147	Fibroblast	0.231607732344254	0.12630031942811948	0.29195410062510385	7.259209623306656e-05	['CK357', 'CK361']	CK357	CK361	0.0006506402699408188	3.1866590605256513	False
148	Lymphoid	0.026960469560882012	0.009156828239099087	0.034793265375941546	0.010564507261893848	['CK357', 'CK361']	CK357	CK361	0.04296824802316489	1.3668523537720787	False
149	Mast	0.0037619259852393508	0.004067014768840315	0.0009710908257075447	0.2295329149927087	['CK357', 'CK361']	CK357	CK361	0.46875076310747266	0.32905801224962267	True
150	Myeloid	0.10044644543318805	0.050156126368983506	0.2228625982695425	7.483644148240953e-06	['CK357', 'CK361']	CK357	CK361	0.00011186470371480191	3.9513069233017606	True
151	Neuronal	0.013891931499709168	0.010052085229264728	0.006784915900735789	0.48896255703496827	['CK357', 'CK361']	CK357	CK361	0.6608592214994768	0.17989104556358826	True
152	Pericyte	0.06356748426865289	0.06500475481367918	0.050743989758363695	0.31774912098369235	['CK357', 'CK361']	CK357	CK361	0.5857189201205669	0.23231074699603704	True
153	Vsmcs	0.014609567982837158	0.006844854838014173	0.006827937349360336	0.5652033895061681	['CK357', 'CK361']	CK357	CK361	0.6748257291069631	0.17080836740454883	True
154	Adipocyte	0.0035244252652917056	0.00010973936899862824	0.0022619836750097976	0.30894612659532694	['CK357', 'CK363']	CK357	CK363	0.5766906328287099	0.2390571027660426	True
155	Cardiomyocyte	0.37574673280402965	0.6039013843701798	0.2882844060372312	2.0304184111815695e-05	['CK357', 'CK363']	CK357	CK363	0.00022854011883997202	3.6410375511239117	True
156	Cycling cells	0.003908349586129583	0.002319255749178871	0.018670084888360423	0.04286430174285519	['CK357', 'CK363']	CK357	CK363	0.13739286121550934	0.862035832161879	False
157	Endothelial	0.16773653577406822	0.10676371459760442	0.1631411892290695	0.08528285148376007	['CK357', 'CK363']	CK357	CK363	0.21955797935180785	0.6584507747951316	True
158	Fibroblast	0.23274260177833744	0.12514234913055175	0.36526970370738643	1.6032905638281007e-05	['CK357', 'CK363']	CK357	CK363	0.00018476015068876207	3.7333916922185675	False
159	Lymphoid	0.026306494463811295	0.008402516335629247	0.0178222009699597	0.31504995378657025	['CK357', 'CK363']	CK357	CK363	0.5842305656425287	0.23341572544765543	True
160	Mast	0.0037701368306279465	0.0035666162951065845	9.952229299363058e-05	0.15500883937608315	['CK357', 'CK363']	CK357	CK363	0.34731514298791233	0.4592762809774057	True
161	Myeloid	0.09334735936852127	0.04849076975641067	0.05327700971067413	0.4816291437285555	['CK357', 'CK363']	CK357	CK363	0.6591010417046577	0.18104800195984685	False
162	Neuronal	0.01395180981924843	0.009910691632705929	0.0050804004029791705	0.37321674324757936	['CK357', 'CK363']	CK357	CK363	0.6250512114512079	0.20408439875267576	True
